$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,12:29:00,1.283802,78.29035,15.03294,220,216.465,3021.153
07/01/16,12:30:00,1.216471,78.28537,16.72768,220,216.3158,3028.033
07/01/16,12:31:00,1.217089,78.66884,16.713,220,216.0175,3023.485
07/01/16,12:32:00,1.267649,78.94077,16.0104,220,215.7341,3011.942
07/01/16,12:33:00,1.250036,79.12836,16.00545,220,216.465,3032.697
07/01/16,12:34:00,1.286679,79.09818,16.34771,220,216.1667,3044.124
07/01/16,12:35:00,1.30495,78.85114,16.01804,220,216.0175,3024.534
07/01/16,12:36:00,1.247633,78.79968,15.82095,220,217.4942,3005.062
07/01/16,12:37:00,1.259671,78.95071,16.30304,220,215.8833,3022.319
07/01/16,12:38:00,1.279723,79.11954,16.65209,220,217.4942,3018.821
07/01/16,12:39:00,1.289799,79.2198,15.91285,220,217.6433,3005.062
07/01/16,12:40:00,1.283423,78.97557,16.73804,220,219.4183,3037.244
07/01/16,12:41:00,1.307426,78.82914,16.69596,220,218.8217,3037.244
07/01/16,12:42:00,1.342243,78.73111,15.87947,220,218.9708,3024.534
07/01/16,12:43:00,1.268974,78.55345,16.38267,220,218.6725,3029.199
07/01/16,12:44:00,1.295326,78.59814,16.06642,220,218.2399,3039.576
07/01/16,12:45:00,1.312789,78.67306,16.16062,220,219.2691,3018.821
07/01/16,12:46:00,1.325198,78.52039,16.59228,220,220.1492,3032.697
07/01/16,12:47:00,1.280325,78.40273,17.86146,220,219.7017,3045.29
07/01/16,12:48:00,1.36347,78.27585,16.47146,220,220.2983,3024.534
07/01/16,12:49:00,1.33625,78.11816,16.5761,220,220.8949,3055.667
07/01/16,12:50:00,1.302799,77.94888,16.90865,220,220.5966,3028.033
07/01/16,12:51:00,1.287063,77.92128,16.05414,220,220.4475,3021.153
